2024-01-22 09:24:53.3461 | DESKTOP-9VG6H90 | 5984 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 09:24:53.3951 | DESKTOP-9VG6H90 | 5984 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 09:24:53.3951 | DESKTOP-9VG6H90 | 5984 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 09:24:53.3951 | DESKTOP-9VG6H90 | 5984 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 16:59:43.0187 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 16:59:43.0428 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 16:59:43.0428 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 16:59:43.0428 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 16:59:54.9102 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 16:59:54.9102 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 16:59:54.9102 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 16:59:54.9102 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:12:09.5146 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:12:09.5155 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:12:09.5155 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:12:09.5155 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:12:57.6149 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:12:57.6149 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:12:57.6149 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:12:57.6149 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:13:28.9838 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:13:28.9838 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:13:28.9838 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:13:28.9838 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:15:00.4519 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:15:00.4519 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:15:00.4519 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:15:00.4519 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:15:14.8596 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:15:14.8596 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:15:14.8596 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:15:14.8596 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:18:30.7638 | DESKTOP-9VG6H90 | 16192 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:18:30.7638 | DESKTOP-9VG6H90 | 16192 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:18:30.7638 | DESKTOP-9VG6H90 | 16192 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:18:30.7638 | DESKTOP-9VG6H90 | 16192 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:26:58.7782 | DESKTOP-9VG6H90 | 50940 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
