2024-02-01 09:44:36.8900 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 09:44:36.9767 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | employee not found in cache
2024-02-01 09:44:39.8694 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 09:44:39.8694 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 09:44:53.6255 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 09:44:53.6255 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 09:44:57.0934 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 09:44:57.0934 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 09:45:00.5092 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 09:45:00.5092 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 09:45:06.6810 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 09:45:06.6810 | DESKTOP-9VG6H90 | 30180 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 11:57:44.1935 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 11:57:44.5644 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | employee not found in cache
2024-02-01 11:58:34.2020 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 11:58:34.2200 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 11:58:51.4302 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 11:58:51.4302 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | employee found in cache
2024-02-01 12:01:12.3964 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 12:01:12.4048 | DESKTOP-9VG6H90 | 19796 | iisexpress | Info | LoggerService.LoggerManager | employee not found in cache
2024-02-01 12:02:19.1551 | DESKTOP-9VG6H90 | 17964 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
2024-02-01 12:02:19.5169 | DESKTOP-9VG6H90 | 17964 | iisexpress | Info | LoggerService.LoggerManager | employee not found in cache
2024-02-01 12:05:44.3086 | DESKTOP-9VG6H90 | 5372 | iisexpress | Info | LoggerService.LoggerManager | Trying to fetch from cache
